year,city,country,avg_temp_x,avg_temp_y
1750,Belfast,United Kingdom,9.22,8.72
1750,Birmingham,United Kingdom,9.73,8.72
1750,Cardiff,United Kingdom,9.73,8.72
1750,Edinburgh,United Kingdom,8.41,8.72
1750,London,United Kingdom,10.25,8.72
1751,Belfast,United Kingdom,8.71,7.98
1751,Birmingham,United Kingdom,9.51,7.98
1751,Cardiff,United Kingdom,9.51,7.98
1751,Edinburgh,United Kingdom,8.16,7.98
1751,London,United Kingdom,9.99,7.98
1752,Belfast,United Kingdom,7.09,5.78
1752,Birmingham,United Kingdom,6.26,5.78
1752,Cardiff,United Kingdom,6.26,5.78
1752,Edinburgh,United Kingdom,4.78,5.78
1752,London,United Kingdom,6.54,5.78
1753,Belfast,United Kingdom,8.6,8.39
1753,Birmingham,United Kingdom,8.97,8.39
1753,Cardiff,United Kingdom,8.97,8.39
1753,Edinburgh,United Kingdom,7.51,8.39
1753,London,United Kingdom,9.42,8.39
1754,Belfast,United Kingdom,8.56,8.47
1754,Birmingham,United Kingdom,8.82,8.47
1754,Cardiff,United Kingdom,8.82,8.47
1754,Edinburgh,United Kingdom,7.42,8.47
1754,London,United Kingdom,9.2,8.47
1755,Belfast,United Kingdom,8.26,8.36
1755,Birmingham,United Kingdom,8.54,8.36
1755,Cardiff,United Kingdom,8.54,8.36
1755,Edinburgh,United Kingdom,7.14,8.36
1755,London,United Kingdom,8.95,8.36
1756,Belfast,United Kingdom,8.75,8.85
1756,Birmingham,United Kingdom,8.98,8.85
1756,Cardiff,United Kingdom,8.98,8.85
1756,Edinburgh,United Kingdom,7.64,8.85
1756,London,United Kingdom,9.42,8.85
1757,Belfast,United Kingdom,8.75,9.02
1757,Birmingham,United Kingdom,8.92,9.02
1757,Cardiff,United Kingdom,8.92,9.02
1757,Edinburgh,United Kingdom,7.65,9.02
1757,London,United Kingdom,9.34,9.02
1758,Belfast,United Kingdom,7.85,6.74
1758,Birmingham,United Kingdom,8.29,6.74
1758,Cardiff,United Kingdom,8.29,6.74
1758,Edinburgh,United Kingdom,6.87,6.74
1758,London,United Kingdom,8.85,6.74
1759,Belfast,United Kingdom,8.84,7.99
1759,Birmingham,United Kingdom,9.26,7.99
1759,Cardiff,United Kingdom,9.26,7.99
1759,Edinburgh,United Kingdom,7.85,7.99
1759,London,United Kingdom,9.8,7.99
1760,Belfast,United Kingdom,8.11,7.19
1760,Birmingham,United Kingdom,8.69,7.19
1760,Cardiff,United Kingdom,8.69,7.19
1760,Edinburgh,United Kingdom,7.13,7.19
1760,London,United Kingdom,9.26,7.19
1761,Belfast,United Kingdom,8.99,8.77
1761,Birmingham,United Kingdom,9.23,8.77
1761,Cardiff,United Kingdom,9.23,8.77
1761,Edinburgh,United Kingdom,7.93,8.77
1761,London,United Kingdom,9.69,8.77
1762,Belfast,United Kingdom,8.26,8.61
1762,Birmingham,United Kingdom,8.6,8.61
1762,Cardiff,United Kingdom,8.6,8.61
1762,Edinburgh,United Kingdom,7.13,8.61
1762,London,United Kingdom,8.99,8.61
1763,Belfast,United Kingdom,7.97,7.5
1763,Birmingham,United Kingdom,8.29,7.5
1763,Cardiff,United Kingdom,8.29,7.5
1763,Edinburgh,United Kingdom,6.92,7.5
1763,London,United Kingdom,8.75,7.5
1764,Belfast,United Kingdom,8.21,8.4
1764,Birmingham,United Kingdom,8.64,8.4
1764,Cardiff,United Kingdom,8.64,8.4
1764,Edinburgh,United Kingdom,7.13,8.4
1764,London,United Kingdom,9.14,8.4
1765,Belfast,United Kingdom,7.97,8.25
1765,Birmingham,United Kingdom,8.47,8.25
1765,Cardiff,United Kingdom,8.47,8.25
1765,Edinburgh,United Kingdom,6.87,8.25
1765,London,United Kingdom,8.95,8.25
1766,Belfast,United Kingdom,8.22,8.41
1766,Birmingham,United Kingdom,8.58,8.41
1766,Cardiff,United Kingdom,8.58,8.41
1766,Edinburgh,United Kingdom,7.14,8.41
1766,London,United Kingdom,9.07,8.41
1767,Belfast,United Kingdom,8.3,8.22
1767,Birmingham,United Kingdom,8.62,8.22
1767,Cardiff,United Kingdom,8.62,8.22
